BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
123,honda/cb250f twister cbs,BANCO SANTANDER S/A,,21/21,Flex,AZUL,"R$ 19.753,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
124,ford/ka sel (4p),BANCO SANTANDER S/A,93.006,16/16,Flex,BRANCA,"R$ 44.436,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
125,haojian/avelloz az1,BANCO SANTANDER S/A,11.922,21/22,Gasolina,BRANCA,"R$ 7.499,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
126,bmw/x5 fe41,BANCO SANTANDER S/A,67.933,09/10,Gasolina,PRETA,"R$ 89.296,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Sim
127,fiat/siena tetrafuel 1.4 (4p),BANCO SANTANDER S/A,188.526,14/15,Flex,BRANCA,"R$ 40.799,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
128,ford/fiesta flex (4p),BANCO SANTANDER S/A,127.267,11/12,Flex,PRETA,"R$ 25.637,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
129,ford/ka flex (2p),BANCO SANTANDER S/A,97.383,08/09,Flex,PRATA,"R$ 19.070,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
130,renault/symbol expression (4p),BANCO SANTANDER S/A,201.542,12/12,Flex,PRATA,"R$ 25.144,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
131,ford/ecosport xlt,BANCO SANTANDER S/A,212.450,08/09,Flex,PRETA,"R$ 32.841,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
133,chevrolet/celta life 2p (2p/4p),BANCO SANTANDER S/A,162.594,06/06,Flex,AZUL,"R$ 14.129,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
135,honda/cg 160 start,BANCO SANTANDER S/A,,21/21,Gasolina,CINZA,"R$ 13.770,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
137,kawasak/z400,BANCO SANTANDER S/A,16.192,21/21,Gasolina,PRETA,"R$ 28.924,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
139,honda/pcx 150 sport abs,BANCO SANTANDER S/A,8.414,20/21,Gasolina,PRATA,"R$ 17.629,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
141,honda/sh 150i,BANCO SANTANDER S/A,,18/18,Gasolina,AZUL,"R$ 13.395,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
144,honda/cg 160 start,BANCO SANTANDER S/A,75.937,17/18,Gasolina,VERMELHA,"R$ 11.793,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
148,ford/fiesta sedan 1.6 flex (4p),BANCO SANTANDER S/A,138.503,10/11,Flex,AZUL,"R$ 28.967,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
150,ford/fiesta flex (4p),BANCO SANTANDER S/A,124.686,10/11,Flex,PRETA,"R$ 24.743,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
152,volkswagen/fox (2p/4p),ITAPEVA II MULTICARTEIRA,,09/10,Flex,CINZA,"R$ 24.389,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Não
154,honda/cg 160 fan,BANCO SANTANDER S/A,77.936,17/18,Flex,PRETA,"R$ 12.328,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
